stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\justi\Documents\NTHUCS_code\mini2\TowerDefense\bin\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.06631] added dtor for sample_instance 0000000002BD7BD0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06633] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06634] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06636] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06638] added dtor for sample_instance 0000000002BD7D20, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06641] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06642] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06647] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06650] added dtor for sample_instance 0000000002BD8110, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06652] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06654] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06656] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06659] added dtor for sample_instance 0000000002BDC280, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06661] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06663] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06664] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06666] added dtor for sample_instance 0000000002BDD8D0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06668] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06670] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06671] 
